match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling_figure,win_by_runs,win_by_wickets,big_win,match_year,match_month,score_diff,match_day,macth_wday,t_one_sample_stat,t_one_sample_pval,t_one_sample_reject_H0,t_two_sample_stat,t_two_sample_pval,t_two_sample_reject_H0,t_paired_stat,t_paired_pval,t_paired_reject_H0,chi2_toss_winner_stat,chi2_toss_winner_pval,chi2_toss_winner_reject,chi2_gof_wonby_stat,chi2_gof_wonby_pval,chi2_gof_wonby_reject,anova_venue_fstat,anova_venue_pval,anova_venue_reject,anova_venue_list,wilcoxon_stat,wilcoxon_pval,wilcoxon_reject,ks_margin_stat,ks_margin_pval,ks_margin_reject_normal,shapiro_first_stat,shapiro_first_pval,shapiro_first_reject,levene_stat,levene_pval,levene_reject,F_wkts_stat,F_wkts_pval,F_wkts_reject,pearson_margin_highscore_r,pearson_margin_highscore_pval,pearson_margin_highscore_sig,spearman_margin_highscore_rho,spearman_margin_highscore_pval,spearman_margin_highscore_sig,kendall_margin_highscore_tau,kendall_margin_highscore_pval,kendall_margin_highscore_sig,ztest_runs_vs_wkts_counts,arima_first_pred,arima_first_adf_pval,arima_first_resid_lb_p,arima_first_resid_ok,arima_second_pred,arima_second_adf_pval,arima_second_resid_lb_p,arima_second_resid_ok,sarima_margin_pred,sarima_margin_resid_lb_p,sarima_margin_resid_ok,arimax_first_pred,arimax_first_resid_lb_p,arimax_first_resid_ok
1,2022-01-01,"Wankhede Stadium, Mumbai",Chennai,Kolkata,Group,Kolkata,Field,131.0,5.0,133.0,4.0,Kolkata,Wickets,6.0,Umesh Yadav,MS Dhoni,50.0,3--20,0,0,False,2022,1,-2.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
2,2022-01-01,"Brabourne Stadium, Mumbai",Delhi,Mumbai,Group,Delhi,Field,177.0,5.0,179.0,6.0,Delhi,Wickets,4.0,Kuldeep Yadav,Ishan Kishan,81.0,3--18,0,0,False,2022,1,-2.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
3,2022-01-01,"Dr DY Patil Sports Academy, Mumbai",Banglore,Punjab,Group,Punjab,Field,205.0,2.0,208.0,5.0,Punjab,Wickets,5.0,Odean Smith,Faf du Plessis,88.0,2--59,0,0,False,2022,1,-3.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
5,2022-01-01,"Maharashtra Cricket Association Stadium,Pune",Hyderabad,Rajasthan,Group,Hyderabad,Field,210.0,6.0,149.0,7.0,Rajasthan,Runs,61.0,Sanju Samson,Aiden Markram,57.0,3--22,0,0,True,2022,1,61.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
6,2022-01-01,"Dr DY Patil Sports Academy, Mumbai",Banglore,Kolkata,Group,Banglore,Field,128.0,10.0,132.0,7.0,Banglore,Wickets,3.0,Wanindu Hasaranga,Sherfane Rutherford,28.0,4--20,0,0,False,2022,1,-4.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
7,2022-01-01,"Brabourne Stadium, Mumbai",Chennai,Lucknow,Group,Lucknow,Field,210.0,7.0,211.0,4.0,Lucknow,Wickets,6.0,Evin Lewis,Quinton de Kock,61.0,2--24,0,0,False,2022,1,-1.0,1,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
8,2022-04-01,"Wankhede Stadium, Mumbai",Kolkata,Punjab,Group,Kolkata,Field,137.0,10.0,141.0,4.0,Kolkata,Wickets,6.0,Umesh Yadav,Andre Russell,70.0,4--23,0,0,False,2022,4,-4.0,1,4,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
9,2022-04-02,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan,Group,Mumbai,Field,193.0,8.0,170.0,8.0,Rajasthan,Runs,23.0,Jos Buttler,Jos Buttler,100.0,3--17,0,0,False,2022,4,23.0,2,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
10,2022-04-02,"Maharashtra Cricket Association Stadium,Pune",Delhi,Gujarat,Group,Delhi,Field,171.0,6.0,157.0,9.0,Gujarat,Runs,14.0,Lockie Ferguson,Shubman Gill,84.0,4--28,0,0,False,2022,4,14.0,2,5,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
11,2022-04-03,"Brabourne Stadium, Mumbai",Chennai,Punjab,Group,Chennai,Field,180.0,8.0,126.0,10.0,Punjab,Runs,54.0,Liam Livingstone,Liam Livingstone,60.0,3--25,0,0,True,2022,4,54.0,3,6,3.3366591982831375,0.0013684976231097363,True,2.6674735564913825,0.008557278612202237,True,-15.483085394838152,3.838386363408645e-24,True,162.8684413580247,1.9077850108782457e-07,True,0.05714285714285714,0.8110701293339075,False,0.34561363796620526,0.7924185037195771,False,"Wankhede Stadium, Mumbai,Dr DY Patil Sports Academy, Mumbai,Brabourne Stadium, Mumbai,Maharashtra Cricket Association Stadium,Pune,Eden Gardens, Kolkata",650.0,0.0005173007687307535,True,0.25026988265944927,0.0002380391660757655,True,0.9593480229377747,0.02304830774664879,True,0.0005101063150274877,0.9820135081990388,False,0.7080199764982373,0.15405055521156605,False,-0.05434638279601989,0.6549921403679213,False,0.06433737669859246,0.5967071937538367,False,0.04539359385471602,0.5895462940010775,False,"runs:0,wkts:0,n:0",171.26875334284404,1.6838369386765875e-05,0.5182373749655038,True,164.4872371980772,1.7527828258619335e-09,0.47802088239747786,True,7.16481278860337,0.46541405652163437,True,152.65943639018192,0.6345909417084217,True
